,activity,predicted,predicted2,EREN,MIRELLA,SANJA
3c2f82f469be4792e85eb73fd1e3b882dcadd48d,recomment out the moz stuff for progress bars since less can't compile it right now,Core,src,Docs,docs,documentation
892f6e35b855211b28a0f68354dec16f94ad2167,Merge branch 'master' of github.com,Core,src,Build,build,merge
3ad9febe04c9ded7a1beb6fda578a4db6c444ba8,Edited README.md via GitHub,Core,src,Docs,docs,documentation
1759569dbe8d9ebbcfc4bc1b7f87c3fe3e79e4d1,Travis,Core,src,Core,core,development
50df64797c3931b8bf3f289e23b107936663ff41,https,Core,src,Docs,docs,documentation
e589cdbfe9421d58f6c3ff4d2820056983df6def,Put that new var to use to match form group addons to form controls,Core,src,Core,core,development
31ab07b32aeabd8df3c7430dbb31d03b474360f5,Merge branch '3.0.0-wip' of github.com,Core,src,Build,build,merge
444973e54d56b7d722978ea398f2910fbbfe6b69,Fixes #8605,Core,src,Core,core,development
b9aad573f9400693f6bcbf9af5374a93228dbe6f,Travis,Core,test,test,test,test
1b8f00b3893cdb503decc87802440df495f4d3cb,Merge pull request #15292 from twbs/customize-icon,Core,src,Build,build,merge
57b59fcfd02799915d9bf4fc19f30cfa71b2d66c,Merge pull request #10353 from rwillrich/ignore-files,Docs,doc,Build,build,merge
f9db33d7dbc464a71d2143e3dd323fd7db47773b,automatic grunt dist,Core,src,Build,core,compile
ddafa9a0bbc9cd89376a642ba9746ec668f6ce21,Attempts to fix #8645,Core,src,Docs,docs,documentation
57fe8ac84cda0f6e361b0d6a29e86c3adf87f83d,Fixed minor typo,Core,src,Docs,docs,documentation
ed06fd0936ba2c03ecb052eb65a89c5be94b1b8d,Merge pull request #13820 from twbs/bump-load-tasks,Core,src,Build,build,merge
a3cba92edd6f778c061ff40dc34a5e939342d31c,rejigger the customizer layout,Core,src,Docs,docs,documentation
3b3dbd7229f53eb71759def4eca90dfd7a2699f8,Merge branch '2.0-wip' of https,Docs,doc,Build,build,merge
1e9f0ab99ea07bab6b66b4fd36b5814c61b3c0e6,grunt,Core,src,Core,core,development
732e4196fb9dc76ce2250edcdc6c1b45bcbe5d2e,Remove commented out CSS,Core,src,Docs,docs,documentation
4b6e1b6754b8732fd71497997a43a5f92f0c8bcf,grunt dist,Core,src,Build,core,compile
c9597b1c540c472dea82a7edd91ffb356b0d327f,Fix doc for tooltips and popover method dispose,Docs,doc,Core,core,development
1f329f8f17aa989eabc6e94bdcab93e69ef0e463,the justified nav bug is still present in Safari v7.1,Core,src,Core,core,development
b4895a0d6dc493f17fe9092db4debe44182d42ac,Merge pull request #14336 from michaeljayt/patch-2,Core,src,Build,build,merge
245ebda651fcdbc9687c1a436e8bbe3916354da6,nuke the .col,Release,src,Core,core,development
a9b86cbfde788b2ffc066353b4f77c45345c0e78,Merge branch 'pr/11138',Docs,doc,Core,core,development
0cbffb3bcbc60582e90711e0b5ac36e2df51f7d8,Delete glphyicons.less,Core,src,Docs,core,documentation
e21b6459ad162296f94b2d9aeaf8807a153d3c8a,fixes tooltip('toggle'),Core,src,Core,core,development
daa21c36348308367d3616a1374363ebcaaeac0c,start in on new headers,Core,src,Core,core,development
5c803b656ce1dcc2a6335b949b0566a50d74c32d,update docs to match,Docs,doc,Docs,docs,documentation
7872ca69bee17010942ca61bed753651446b5f41,Merge pull request #15890 from StevenBlack/headings-media,Docs,doc,Build,build,merge
2674210ff06a9ceaaa98263a2cbe2246fcd21111,move the .brand from the parent to the a tag in the topbar; fix the moving text in IE7,Core,src,Core,core,development
416efb853812525a44455616b14edd1b1b7c3ee4,Merge pull request #18783 from twbs/v4-nav-cleanup,Core,src,Build,build,merge
210ee6369313b311b879cf1a773ecfd0276f3543,Fixes #8586,Core,src,Docs,docs,documentation
cd556cfacd83a30791b9efaeac61caea057cc8b0,remake for version 1.3,Core,src,Docs,core,documentation
6e5a2fedaaa75ea5052e495b04d424eaad4c3622,Nuke .popover-inner from the JS since we nuked it from the CSS/HTML long ago,Core,src,Docs,docs,documentation
488360562496fd3be1b647007b24679ab64390d2,Fix bad grunt merge and then G R U N T,Core,src,Build,build,merge
0255f47eb3f4967851d014a9ef6fdf49a37dc548,add zindex option for tooltips/popovers and fix modal zindex doc example,Docs,doc,Core,core,development
3d99a4c15e0661df630dbaf7dddb5228cf044fe6,move to examples dir,Tests,src,Docs,docs,documentation
c9eb483ca9eb15dac257e10b419645656b370a44,fixes #18320,Core,tools,Core,core,development
65a723b6024e443c9e5f9c2c0a49d2d8cdf69584,Update shrinkwrap.,Core,src,Build,core,compile
e381635b1faf7480bcf54618804a62dd4a049a93,Fixes #12593,Core,src,Core,core,development
8410afe0e104459a613f6232ad46334aa8b99fda,Create new stylesheets for optional builds and add them to Gruntfile tasks,Build,build,Core,core,development
4bed09aff8dcd2a225fd09f9603950fc40dea244,grunt,Core,src,Build,core,compile
30fe3d9792347c341d24777dbce76078d3113e23,Merge pull request #8 from twbs/scss-lint,Core,src,Core,core,development
a25e78f9c95d389a141c4dd7cee70f267fc75da2,add forms test page for all html5 input types and refactor selectors,Tests,test,Core,core,development
ec05ebc5ed2c2ecf76f0ff7ae38056a0cc72f375,"add small section to navbar docs on text in the component, per #2035",Docs,doc,Core,core,development
d482b712e750cb7bb17e8076fb06752e3627ac4a,fixes #9425,Docs,doc,Build,core,development
e9d6756a1ac76a9db31a41e8e03f663bedc41b70,Fix regression of #10038 introduced by #13772,Core,src,Core,core,development
fe40de181676334c61fe03bb7b0f64cf529bace1,follow up to #18782,Core,src,Docs,core,documentation
268e7d67abb32ed5cfc575c71f03d635672e781c,add mini buttons per #1971,Core,src,Core,core,development
dd9c15273c4aceeada22754ee9a0af2aae7eb8ea,"Add even more  role=""button"" attributes",Tests,src,Core,core,development
960804cea397d5616918341eaec41a384976c20e,mo betta new navbar styles; hook up some changed vars,Core,src,Core,core,development
0f72123c43bad7db4e7ea1c163043c34707e6aa4,move Sauce test browsers list out of Gruntfile into separate file,Core,test,Docs,docs,documentation
6d5b5065176a9e46ce71ec5fc16ae4a079e9e636,minor cleanups,Core,src,Docs,docs,documentation
54e3a26ddadb7e16b9585fe1a77c6ac9667073fb,fixes #4562,Core,src,Core,core,development
5fdd917918b9470ae3b0ec30ee89c8e20a14c157,improve icon display on narrow devices,Core,src,Core,core,development
c0749df5a467690676d7bc9dad4d44e42715b4ed,Use LF for SVG files too.,Core,src,Core,core,development
15236f517fae038526ad9d906ab2055c32e101e9,Add min-height,Core,src,Build,core,development
689faaf16f255ae5bc37c6e348fd593ae270a103,added a separate npm-specific main file,Core,src,Core,core,development
9e92b74aa3a3d5807d3201ac4ea1778ea120274f,fix ads text,Core,src,Docs,docs,documentation
749dc35328862896d613bfe72fc961e490037fad,comma for the guardian angel /cc @cvrebert,Core,src,Core,core,development
fe8061b84ecdda5ea70514fe487e2f46564439e2,more tests for form styles; includes lightening help text,Tests,test,test,test,test
6ec176eee2f64a4834c0eac5624552770c5d8af7,Update remaining Edge issue URLs in Wall of Browser Bugs,Core,src,Docs,docs,documentation
5193f9f607affbb5c01f5215ed19168ce3530ca5,add svg logos to brand guidelines,Core,src,Docs,docs,documentation
a5243ad3d0a380c7c40c984f21200ca9932e43b8,Affix,Docs,doc,Core,core,development
a66ccbc562dbdca983fa65a55bfcbe426bcca3dc,split mixin and grunt dist to be sure,Core,src,Core,core,development
af5793e1cd358862cf510a54dda2476b95a26ca8,"fix mobile example sites, remove unused JS from docs index",Docs,doc,Core,core,development
52110fa2c20d101e162179d7caf3a22992234d56,"scope temporal changes to .form-control class, add week input to boot",Core,src,Core,core,development
118e901eb1589b14f5aab9bdb8d2cbf48883a0de,grunt,Core,src,Build,core,compile
5da85f8e8b9341ffb0779b98eb7655f0bfab6f22,Follow-up to 9740d8b,Core,src,Core,core,development
6aa15eb01f2e50e394ae172ff41e5bc0583de6da,Support for left-opening dropdown submenus,Core,src,Docs,docs,documentation
6c221d65e3b73a8ad0270ee2876260177df68620,Merge branch '2.0.3-wip' of github.com,Docs,doc,Build,build,merge
46a524f302ab8bff724ae8d93fe4c5d4beaf1840,Merge pull request #17058 from kkirsche/patch-6,Core,src,Build,build,merge
5f35ce2095f03bc97c5200d10615666c86fe345f,".page>{a,span => .page-link}",Core,src,Core,core,development
ba202d77baa35125a521224d9a55ec013fc3ccfa,Merge pull request #3104 from iamnirav/2.0.3-wip,Core,src,Build,build,merge
f76c222089551c64f24d54cfb2888db454d0006c,Update examples after grid changes,Core,src,Core,core,development
01361951e695d4313131ba85c9517cbc50000439,address #10343 more directly,Core,src,Core,core,development
c7ffe6edc894b00db16bc4386f421a3d8efadd50,Add space on navbar button,Core,src,Core,core,development
3fb41d240065d40c084ff9cc5c9f856d2d947577,link to Uglify-js repo,Core,src,Docs,docs,documentation
30d8eb3ed572f2a91c0d4de1326779dec88cd911,Merge branch 'blakeembrey-dropdown-selectors' into 2.3.0-wip,Core,src,Build,build,merge
b67cba2b4d1fe2b7a9685bb5c80eb77ee64e6ab1,make WP8 device-width hack code fully consistent between docs HTML & docs JS,Docs,doc,Core,core,develop
a87ea9345beced2cea2009362c9aead9a2510e09,"Add IDs, adjust text",Core,src,Docs,docs,documentation
21a7de7a18707a7cec559cb419fac251feea405d,patch highlighting hint,Core,src,Docs,docs,documentation
880f43221d0f0820d208afcb05f295c6a0afa27a,tweak Gruntfile.js so it passes jshint,Core,src,Core,core,development
fc96bc8bba0687fb5845bffc72eb048535583499,rebuild doi,Core,src,Core,core,development
5663833bfc3ea815ee9fa82a53e1bd3e3f14f585,Restore .btn-info,Core,src,Core,core,development
d4b1bfd667631f1d96a0b6ec4e734338e5b8811d,grunt,Core,src,Core,core,development
6fb81f155b8e16a16e49b3fb2c0d38d516883f55,more space below links on homepage,Core,src,Core,core,development
2c1c885ed4978900fb2a5e3310a428fd72b89c12,automatic grunt dist,Core,src,Build,core,compile
0cb2866409c674f834f8e0f4e204c3c3331abbcd,fix reponsive 1200+ media query to resolve mismatched gutters and negative margins on the row,Core,src,Core,core,development
8d806b0ae5f618065a466cdfc9853020fb72cd9d,Document .alert-dismissible .close restrictions; fixes #14802,Docs,doc,Docs,docs,documentation
b5bf4334caed20615e0f2c0ab9753bd83fd4199d,Add aria-pressed=true to example,Core,src,Core,core,development
f6831e4d4f146b97c5a7047f1ae170b4f2dea1d1,Merge pull request #19089 from Quy/patch-5,Core,src,Build,build,merge
b9c572184f18a5c228dedd41e3b93b94c8d71b7b,add .btn-xs to .btn-group example,Core,src,Core,core,development
b7ac009a527869dc381b9e4c2272c822d85d2b1c,Remove #8350's reset for number inputs since Normalize fixes those upstream,Core,src,Core,core,development
98df9495cc92bd710a6d55c4d535da7aaf730031,remove dupe border-box,Core,src,Core,core,development
abdf41f5f3ad682e57a60f662e7a6ed56b4e3e54,Add a local jQuery fallback.,Tests,src,Core,core,development
7b06538c911f40c46ae67b0c0df7afdfbcb5d00a,Merge pull request #11723 from stof/patch-1,Core,src,Build,build,merge
74a516a9b10affa77e17344753d7aba94e260170,Merge branch 'v4-dev' into v4-modal-footer-btns,Core,src,Build,build,merge
9234bb630bd02a306f1f22d06ce33826a40480e6,Bump year in jumbotron example,Core,src,Docs,docs,documentation
