,activity,predicted,predicted2
34355e09f9069f1dfb2783d378cb56bde16a09ff,Merging master,Core,src
c396adb2dde5265a6a76e8affc75d5bf47d0ab4a,save with non-model success,Core,src
5573ef72caba989a44ed4094f584b6878fa65e03,"Add comment, remove anchors.",Core,src
75666b08c91bfc399e878023f82dc1fbb14ce883,add `has` method to collection,Core,src
4c56e50b1100eff6fdef8df3f7736a836d9c732b,Remove lingering comments on silent changes.,Core,src
d5751d503e016c595e08690556368d41de6ab140,Improved description.,Core,src
51387ebc363bb8a7e2974941e97083a8bad5bdc3,getValue for View,Core,src
f752362cfb9db8abe4e2fb054a68cdfe5ca7c1b9,Merge pull request #3431 from yokangy/patch-1,Core,src
13d87a3d354af1eba2f5559dd7d0ee2b55287760,Merge pull request #3797 from jdalton/msedge,Core,src
1dbe3ddf2f757b0f1a23e22ca5986b6e4a3fda90,Merge pull request #3152 from braddunbar/ie6,Core,src
2bb28cddc0084c30237839989737754f8c0c32f7,Merge pull request #1886 from gsamokovarov/patch-4,Tests,test
197861c00d31d7209be63dd87edbf75d18348605,Merge pull request #865 from braddunbar/add-remove-docs,Docs,doc
5bc65ff3fcfbd676c84edfc00f4c49330ba83f43,Merge pull request #3997 from zotherstupidguy/master,Core,src
2450b70af84e1cd15d779c04bef64b7e6413d511,Test that `listenToOnce` is only called once,Core,tools
41f64c7f1a8a6086a28cd28f3120ef390f85f137,Refactor a test for simplicity.,Tests,test
fa6092be79223ee2297b1a9046d0d0319fa470a2,fixing comment.,Core,src
a96079453484f19304994d59e6ca0da57f6b871c,Merge pull request #1024 from braddunbar/locals,Core,src
60d67dc4c9d57d8c1d1d2ea74d5e6ad28b32a699,Merge pull request #3583 from kuychaco/patch-1,Docs,doc
5f129678eb4e2d78b4f65eacf8e383606606f968,documentation for `changed`,Docs,doc
df3366d4925a7d648a2b3de9d2c786108ae1d32c,Stop testing IE8 in sauce (#4008),Tests,test
64e2d0a6ea37d6e2f1c571814816fb6f3fb605d7,Merge pull request #1696 from braddunbar/pushstate-transition,Core,src
f71bc0d53bd7de0d540dd7dac5eb49a8daf68c73,fix setting of id for todo model,Core,src
dca02ecab7736e708b3abbbb3236d0aa2a910fb7,Fixes #1053 -- updating comment to reflect changed style of validate(),Core,src
4f2c63cfa2551ec8181356fce4a953d3f26295ac,gitignore bower_components,Core,src
478ef5c4b4edbfd4868c3acf4a262d109cedea46,Merge pull request #736 from braddunbar/nested-set,Core,src
6ac7704c3059c0341894b912619c6fe29b5c1f9a,Fix same mutation problem with existing/non-existing mix of models,Core,src
e88d34dd184c302f867a95e087527ab1120f935e,Tweak a bit.,Core,src
cb7090db7709c6545e9857a6cc66cda00d729fa2,"fixes #838 -- allow View#attributes to be defined as a function, as well as a value.",Core,src
bdf0999479d78073d49961c332ea2f464123965e,Merge pull request #3524 from braddunbar/phantom-pathname,Core,src
51d076c9bef6bda543e01fcec5533c38b4f994cc,"listen for invalid, not error",Core,src
