,activity,predicted,predicted2
0780faad45d106fbe8bd0de64e1cdfb3d6117d0e,"make that left/right padding, not top/bottom on navbar",Core,src
cf45a82068daf283796562acfed099fdaf913126,grunt,Core,src
e5520f95e2b2306eb03661b112555720924929f8,Merge pull request #16263 from twbs/fix-16090,Core,src
c34fdd415e864e5e6a64f36a0278b5d43c15d3a2,grunt,Core,src
8db0cc6fdadb2b08cc4aaff7ef0527f69f271cc1,Merge branch '2.0-wip' of https,Core,src
c13524e7e0f3d2a62935bbe2cb57c1388e04e052,Fixes #11553,Core,src
f16ad2253053c3193cf2744e196680c17287e84c,fixes #18188,Core,src
50d5f60696208c0e242f72d30b928b12300e3831,Merge branch 'progress-brand' of https,Core,src
ca14b9652cb1d1adb2561fac37db0bb75c3b5838,inform the people that fixed positioning ain't all it's cracked up to be /cc #11888,Core,src
9f95b592ce2c9b3f141db9b973d0c98568c2c549,Merge pull request #17727 from tomkel/docs-fade-fix-v4,Docs,doc
4a01acaf6772a9c4f317ae94381376b16109da3d,Merge pull request #11941 from ZDroid/left-plus,Core,src
66a9ed278e90963fedf95518438c454e22b1e6f4,Fixed couple of formatting errors in modal.md,Core,src
cd06c5baac64a3663820bc25b393e5b354c64a14,Merge pull request #7704 from twitter/bs3_moar_grid_changes,Core,src
def7ae7798916f105ba489b617cfa2b4af16afa4,bump version on docs homepage to 2.0.3,Docs,doc
aab4c95cd259e707c45c814a8a1e91faa0bd489d,Update customizer,Core,src
247ad23e97534f28038e285b15730bdd890fcb4c,Merge branch 'v4-navbars' of github.com,Core,src
0a71f171bc63dcfea42fe002bab00454d728fc42,"readd bootstrap.zip, add @inputBorderRadius var to close #2946",Core,src
1caeca3e01d91261ae0fadd0bc3f24a51e80b22a,Don't ignore every dot file in Bower,Core,src
657ff31c7448563abc7b11e0cfea971e060a3d3d,Merge branch 'need-to-activate-animated-progressbar' of github.com,Docs,doc
7522517b47521da731bf7a598d5e5a71721c4c44,derp,Core,src
d5b57c3c4d69dc9afd2036d9d4c0e10e52121391,Add Wall of Browser Bugs entry for #18504,Core,src
83c9510da25ccfe3b1b3e84cc65af910645d8182,Merge pull request #14037 from twbs/close-13892,Core,src
a15a6dfa9642d1f572d3914a2d788c8815842ec7,Merge pull request #11369 from ssorallen/speedier-js-loading,Core,src
13cc81c50c473c78e96dc8f5c815782afd81d3b9,Update grid docs mention of gutter width value (no more rems for awhile now),Docs,doc
d839bf961bf2292e55516847a96a2ff231d69582,Merge branch 'master' of https,Core,src
cfa4ab90f3d8de9dd419a6b30f0ba57c9b9ba518,fix scrollspy for window *and* children,Core,src
86a5846ada371ea3056e9e1c71581dece141cd0d,Merge pull request #12378 from andrewdisley/patch-1,Core,src
084291aac7e8873ce975a4b547a9de6ac4630473,Merge pull request #8408 from cvrebert/progress-bar-variant-mixin,Core,src
11a835f56662f8a93e2f8d27038c683d901a5a72,Merge branch 'master' into equal-height-experiment,Core,src
1e4540f11bf460bf8f0dd53409951ad0fe14a603,@cvrebert's feedback,Core,src
d7d6384d397c457a69f1ec1ee8ebaf390334111f,Fix margin-bottom on dropdown (navbar-fixed-bottom).,Core,src
54cd0f8c2f1aaadefd8447f9ff4cd9bb04fe4e72,rm dummy 'src' attributes of <img>s & squelch validator warning; fixes #11216,Core,src
1555992e35ddc50e2939fe370c484c2a308a0483,Merge pull request #8187 from imsky/3.0.0-wip,Docs,doc
c7e45fa4a71a17810d257e7a6dd471dccb427d8f,Added links to Ukrainian translation website,Core,src
1f31077122258c92bd8195450fc1cfea0e99665b,removes holder.js references from example docs,Docs,doc
f1ddf7681cfe6d7c91c9523d44ee76c89c3674d6,Merge pull request #8419 from hollensteiner/3.0.0-wip,Core,src
589242604f06a87c78d0a2c324f532d2caaba3f0,document large and small well classes,Docs,doc
7c3bda24f0706510bcbb1525a3d07541978c07b6,simplify svg by only using viewbox,Core,tools
f40ea21a6cd147128c22707de8f75c371d592acf,'js' folder .editorconfig code guide updates,Build,src
91992ac70a7fe9e9411580d0857132f57be59e5d,Add new border utils,Docs,doc
