,activity,predicted,predicted2
12168b275d6e26b736b9e7d3b478131327fba8fa,[troff mode] Fix MIME type,Core,src
25278eaf7285e6c770378f56e2aa17c78f35f8e9,[multiselect demo] Update binding list to reflect new Esc binding,Core,src
e2e96bb793daf3c68272cab7727377681b022306,Move line.className check to buildLineContent,Build,build
4f43c8ce8780c531b6a1772e1e3eb34dcbfe037f,Add getModeAt method,Core,src
9ac1e906b00047806c3f373124087f51319c8a57,Sample 50 instead of 10 lines to get more accurate fractional line height,Core,src
98dd8090fd3eb63db8f50e031709e5c8119a78e3,Fix delayed update of scroll height,Core,src
180e75271b9562e8f5f59e56590a431d4fe99427,Integrate APL mode,Core,src
d433e702a5f2ebe393e8724eec3c6966fab80109,Fix problem where horiz scrollbar stayed after long lines were deleted,Core,src
5befcdce0b7ad0d8dcada5eb1bfc81a5d5b6342e,[javascript mode] Don't terminate regexp on slash inside of square brackets,Core,src
17176f79cc7d87420c42fda37cb155f6924710da,[util/formatting] Fix a bunch of bugs,Tests,test
0e41639bebaa0535ab913563d0031d125ab241d4,Kludge for another IE focus issue,Core,src
51ad9ffe405ad3f12201de1becaea70f6eee68bd,Bump version number post-3.21,Core,src
3d3686d51600c4785a15d95018421ea108c7b9c5,[the-matrix theme] Integrate,Core,src
1ba143f4414696988e74ce35b5c0e16559b8190e,"Rename addWidget mode 'fit' to 'near', make it not put widget over specified char",Core,src
a3a607cd69dc4ebca9dab027b1cc8f2e5b48434b,keep highlighting until an actual unchanged line was found,Core,src
8bfabc472acf00eaee0d4a099f3b90d8b5dd47a8,[commonlisp mode] Recognize character literal syntax,Core,src
7b00c30cdb959cf1980ca5f5cbac3cf331b83b08,[ruby mode] Make else and elsif electric,Core,src
d9b821a9b21b5b1622396b67744d226f57b69d2e,[placeholder addon] Handle swapDoc event,Core,src
d96f01f63f497a856e2ca20cfdca49dcbcc5ccd9,Counteract idiot frameworks that set box-sizing to border-box,Core,src
43dc733f3027fae7026296dc57393a26d43966a7,"[xml mode] Allow dots, dashes, and colons in entities",Core,src
e40fc572f3084a3ba41bc0273d0fd376962d1a6d,use a closure instead of an object for CodeMirror instance,Core,src
90d7915450f33f03d0d251b6bdda7228289acd41,Update LICENSE,Core,src
dd873fb73bc10d75f7df70c3e48983b4f4e2c5e8,ro_registers with corrections,Core,src
52e69f0851f94669673477c71fb2956e0d77d0cb,Remove stray </a> in front page,Core,src
6e44713cdb6966cde5b76e783697b3ec53a6bc32,Fix distance-tracking in coordsChar on bidi text,Core,src
78e06acf0d9a04b81bd9aa667a9a98c7413c5e70,"[meta] Add findModeByFileName, several meta improvements",Core,src
a7868e1519c67bc6e4f74dbd5ef94098003438df,[real-world uses] Add OpenCampus,Core,src
e9cd523ea1340ce73d6642a6703ea810c498c5f8,Fix addLineClass (and similar) returning null on no-op,Docs,doc
2a70c1f362906783a3ef2fa37e63eaeb0a3d96cd,[sql mode] fix zeroless float syntax,Core,src
127850e7106ade846a3a3e528f52414c682a3113,Force display update when measuring during operation redrew a line,Core,src
df21300d6b83e8dc1922d5efd526658086614383,Set some tests to expect failure on IE7,Tests,test
c0e878ab7170a587eed9440ee101bac887181c4f,[mscgen mode] doc,Docs,doc
66870c91aac7562f648e32f36c9d705a7e8540a5,Make CSS mode color hash ids and hex colors differently,Core,src
21bb154d0939bbd877119609df9626cec7011d79,Add getLineNumber method,Core,src
94007aacbe84046a1fb898aff065c03ee1ce3fc5,Add cursorScrollMargin option,Core,src
640016a1850e9a55d4e9e43f66db352ae27bd23e,Add position to runmode callback.,Core,src
553304eb8a39b1abe9e25e6572402fd743365a06,Move /css/ to /doc/,Docs,doc
0982655fa717b5ebd43d3e1c9bc35236e48c0867,Mark release 3.22,Core,src
685be494e1b0c1bf7454fb8f3e2936df12d7b30a,[soy mode] Fix indentation of {switch},Core,src
