,activity,predicted,predicted2
964b991423478e6b85bce25a3aeec084b3986836,Reviews changes,Core,src
d4c84c3f95dc977fb8764a179f82b3189bc374b7,"Fix missing , from previous commit",Core,src
c20cc598c5e416d673f6e625afe5e1177e09a90c,added diff-dependency for easier test-debugging,Core,test
3bb4a1086653329243e8f959cadc540514de403d,Fix,Core,src
ee11dfb0b12eba54c2331191f7006dcc05958b02,1.5.0 beta 3 release,Core,src
51ead0869136d6cb6779d2a5caee15f60e342a66,Merge pull request #2445 from bassjobsen/svg-gradient,Core,src
80e8b42e9af7da6f6afdd4719e5cd92d41238207,remove @media code from tree.Directive,Core,src
83a47139f8230d6af23340709d078f711ce84856,bumped version to 1.0.1,Core,src
36371a3007c5cce5ca21a953597dcdcca2ce6422,fix refresh()'s timer output,Core,src
16ad5bee0ba80d5f7db40efcb2c0ec175bc14faf,Fixed inner quotes,Core,src
b55b596740fb9004c6b86d9348a07c854ad1a01e,move transform out of the parser,Core,src
4a49c636961fa2727d980e00cefc330ea75a59e2,Merge https,Tests,test
0e883957cc1ae38a1f4a0976557929ae8a74e778,tests for import malformed,Tests,test
b60c296e6ea9f5ddab897474992fd2b02a2aa6ae,"throw a ParseError, instead of just an Error",Core,src
1cbda8b72f7bb9cc5d50f41787d8bc5b88dc46aa,fixed benchmark.less,Core,src
ddc7ba98459e44e831891d7943ebd54313578198,allow empty directives. fixes #2377,Core,src
d6bd0e9e4f1f330915834e050cab209697e77d1b,Test against latest Node 4 and 6,Tests,test
5e13673674d32a60664361dddb51638ef2594c02,Merge branch 'master' of https,Core,src
d7f79be40dcacf32940c9c848a0e0f9b7ef27cbd,"Always copy/create BOM tests, even if they already exist.",Tests,test
28172d50f7afae259e82d69ba7b84ff35b70f222,support windows line endings in browser tests,Core,test
efc1ff41a39c2fc9cdcbdf517e0ac6bc2b94eb40,Merge branch 'master' of https,Core,src
ee4e23e15c5ecd5376169919e961c6c362fd0547,fixed merging of interleaved properties,Core,src
b77b02091aa01609412f6b4d5e43d88002623d82,"Improved min/max function, 2 new Built in function",Core,src
d26f16ae2d85f7cc25b63325d35b29d0a6612308,Merge pull request #2241 from Justineo/patch-1,Core,src
f467219dc37552a773a72026428ca423fa3bf9f3,(dist) version bump,Core,src
ac8cff4a6a51e256b87e674af6645514530bb26c,Clean up,Core,src
2c1172df21dad1d2358809728719f58051c678ad,Support non-JSON script attributes,Core,src
ba5c8189cda68b8a064d44bd707c4e59a92c5152,Fixed line/column numbers in math expr/ops error messages. Updated tests.,Core,test
9dcc7eb953a34ef9a94a4f51a6de3e4843705446,moved to apache license,Core,src
e1f3d4472cd092c0c4eb4467f745a2c5ad18cb40,Merge pull request #1907 from XhmikosR/patch-1,Core,src
3dbd1e9790ba0dd5bc37f2e83efb124ffa2e6d6a,Merge branch '1.5.0-wip',Core,src
a128801d141b50b699fc2f687942f724aea53bc2,Merge pull request #2313 from vsn4ik/patch-1,Core,src
2de86bd901c858a06170019fedda2d827f230865,Support for IE's ARGB syntax (#aarrggbb),Core,src
35d58f239221edacb6384e95757f405c62b9ab3c,start abstracting out the file loader,Core,src
440d08153aaecd62265fe6f7f961c1287d51a57f,CLI,Core,src
29a894231a9eea1198ba97b1c46650792a202911,"fix error message when no filename, also try to print stack",Core,src
70045e9c4bbb019bc5eb1e989f93c0eb94141866,(minor) formatting,Core,src
10296d294794d6f0cd8b29d07afabe7e8b33ebf9,Merge pull request #2217 from seven-phases-max/2_0_0,Core,src
4399c9c9658e5c189745943d43c6d9453a0ded8f,make strings behave like other nodes.,Core,src
94ef7cba5edda35c9424ca79e090a05921f43ac6,small compatibility fix for prototype.js,Core,src
622a521b11ede8be8930b438aa4ed9d6bfb376d9,"optional relative amounts for color functions, see#975",Core,src
c35b6d733e048a3344ce95f5f225ee815a12f014,Add browser specific url tests,Tests,test
178696d14165e49e0c9e25c9e15ca31267b1df8f,Allow any casing for functions. Fixes #1168,Core,src
1692e2f639efce078e82612459991293c1762425,Merge branch 'master' of https,Core,src
494c5f268108b1f684d81a49b396cf259fe25fd6,"extend options, algin with decided syntax",Core,src
06aa30403888c72edba6c6d2b5d1c9be94638742,get tests passing in chrome in sauce,Tests,test
76ac1ddda6c58ee88eb240ff9885992502773818,revert bower.json,Core,src
8fe40338170b71bb7561f2589f85dc95195be0cd,Fixes small typo in command prompt usage text,Core,src
b10928720ff71446a579304cf4c953a4a6e97502,Merge branch 'tests' of https,Tests,test
4251946e83772c7c18942d664cf0bb90d5dd57f1,Merge pull request #2955 from maxbrunsfeld/less-imports-of-files-named-css,Core,src
c6cf6a8a6a06bcf47d87656f7ee6253e8ec1d0eb,Moved @font-face property merge test into urls.less and re-enabled,Tests,test
4417ef62c6d94354bbcb12bfada8734c82b62788,(dist) build 1.1.2,Build,build
b2aa23e88e65a4b94ffe382f621eb2c3b6a8e778,Fix IE8 error test,Core,test
a3c0049d4c89af4160b19274c6940249d1b42e2f,"Add Gruntfile with tasks/target configurations, and commands for running tasks.",Core,src
0bc82a46e7469679b6b640757390ac6b2a06ee13,Merge pull request #1804 from cettox/master,Core,src
abb5375acb0358987ee9d77b64251bfd9c247e52,Fix JSLint and JSCS errors,Core,src
94a6501adee79db3aa91d2b62cd066db784d7be1,Merge branch 'master' of https,Core,src
