,activity,predicted,predicted2
18e29a898af3fb2d412320ab0c784dfc46bf2a06,cleaner approach to applying transforms to slides container,Core,src
03c3031cb4de22f2cd8070547c2bb8085d435c69,cleanup classes when backgrounds are synced,Core,src
c9b179fd856415de42b8a60c650b988cbca39f69,pdf hacks,Core,src
e08d0572bd41dd18f813e9992bf76699f6b95398,Another instance of,Core,src
f28b380fac76583c1572c82abc229b49f54dc2fc,prevent auto-sliding in notes frames #1004,Core,src
853efe504356b7607330cb7e81a2a22ec1ed5a78,"for contenteditable elements, don't let arrow keys work",Core,src
0b6585bd44fe86344408d9d3ab8d3c17e254738a,prevent exception when initializing with no slides #1678 #1679,Core,src
b6e85816e594171853625b006f966d91f3fcc9e9,typo,Core,src
aaa03dc2c79bf4101c5eb7c4903fe157c6ec6278,fix incorrect directory reference,Core,src
f5574e173bfb6b682361b73f009b51eee4d3a8c3,"version 1.3 is stable, upgrade to 1.4",Core,src
9b00001870247cc2e4b253de9470ea34146eb2fb,Changed #reveal to .reveal in print.css,Core,src
896e0b7010fd12573167e0b9dc45c7177b8db490,removed history comment in js,Core,src
0f79903a10bcbad5d77bce13392f84b1caef40d8,Fix IE10 vertical slide perspective,Core,src
732ed921ebc693d29988c73ba1f28a986dd8f143,Implemented correct Previous and Next navigation for both mouse scroll and wireless presenter.,Core,src
7055c54b799a966d313ab87d221a207e9d04bac8,rebuild styles,Core,src
38577cceb6d7a05be8000fb509b2931a50b296e3,Merge branch 'master' of https,Core,src
3ad0d6adc026c620af1b2eaadabd2ce2c338e2f1,tests for lazy loading,Core,test
49e0749bc637a87aa43e77bc2f12f55b8039b1ea,readme tweaks for auto-sliding,Core,src
562d3b0238f69029fad912c067b5d4555f09e3ae,Merge branch 'davidbanham-master' into dev,Core,src
57844ad827523be8ca8992837a5a591c472d77a7,listen for touch + click on all devices except android,Core,src
19188205de20c6c7e219c01482e897a880e42a7b,add pdf-ready event; dispatched when the presentation is laid out and ready to print,Core,src
7d6cc9f3ec6218a6b29eede430ca41c84ad23b63,Merge branch 'master' of github.com,Core,src
775d510c2f979181c2194c8705c4b25118dc3144,Merge pull request #1756 from jmpp/better-data-trim,Core,src
9f1c5a0ceae03b281b6f35b33412fd8dd1860eee,Merge branch 'upgrade-to-grunt-0.4' of https,Core,src
f84e025d38be24d7800d51bb8b117570c10568c2,Merge remote-tracking branch 'upstream/master',Core,src
75845a92c3a134e79853e00efa66585313c127d4,Merge branch 'dev' of https,Core,src
c5c0290cca523cd049032942bd0f62dcbc3cfb4e,Merge branch 'patch-1' of https,Core,src
ec76f4790ce5a9c1248bfab9e0d26eb56eccef79,speaker layouts in server side notes plugin,Core,src
69bf9b51ec441fa4f7924d53f3e620a203bff83d,include slide number color in theme template,Core,src
68139e64e958b9edaf38a57839a7de74a80d277d,Merge branch 'master' of github.com,Core,src
faecabd568946dba80c9b9e3ede05cf66adf634a,adjusted shadow on headers,Core,src
969885a7dc5ec7dda0ff6b8bcb4096288f945bc0,ignore delta=0 mousewheel event,Core,src
c99f138fbb71688c7ff02121e9ef856fe4781627,Merge pull request #1234 from lememora/master,Core,src
ca4098145ee57c3f865703c43c4b8b9d64a76b2d,bump up z-index of notes in pdf,Core,src
dd08b86a0fbc330ba7c8631bc630bda3f7d9982b,don't show auto slide controls if there's only one slide,Core,tools
c39f5fc0b0ba4f32854b5e58c71beda6fb295270,Oops. Delete console output.,Core,src
705d5a012cc36d61a59823ea8966d5bfbf34f5b2,define normal font widths in all themes to make sure things look the same after #691,Core,src
6ba1a4b7809cf9df4589c7d92ef9844925767041,Merge branch 'list-themes' of https,Core,src
691099c6a25861405f067d3b1f7c669c4642a535,rough support for vertical centering #70,Core,src
ddc9e2b5e7c8d8fd43323068ae0061738955c4be,Merge pull request #1357 from davidbanham/master,Core,src
1c2f4a2e9243d43abf1f6606cfba079daa7d72f7,deserialize state values,Core,src
1916d2f64adcf3a02ddeee06206b5e586167d0fa,added example from @pamelafox,Core,src
0e7bc4091ec7a870805f040e342732388db99560,Minor updates,Core,src
d42839a1a3f91350227f4e022dd56d7f2d00e00e,updated readme,Core,src
7dd2a10b345ff4f78bcbf25c756bb35c050ba680,remove extra whitespace in css,Core,src
6447b59ac51c3f399ae061ecb4e9275fc165f967,ready flag on .reveal container,Core,src
f345326a4edd0ccb506071c407cd268a6bfa6610,re-arrange readme,Core,src
c21e6bbfedd62128ea1c023498317894c6f9a01d,fix vertical centering of slide in ios chrome (closes #289),Core,src
35462a424c4899747aa2079101372c66ac14d211,remove mention of deprecated transitions #1390,Core,src
b4815a3a831cab4775b18b9e78711d25a7531f51,remember last visited vertical slide (closes #225),Core,src
